2022-03-08 09:38:57.509 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.2.Final
2022-03-08 09:38:57.535 [restartedMain] INFO  com.example.rs.RsApplication - Starting RsApplication using Java 16.0.2 on LAPTOP-8C2MLJEM with PID 11020 (C:\Users\hzh\IdeaProjects\rs\target\classes started by hzh in C:\Users\hzh\IdeaProjects\rs)
2022-03-08 09:38:57.541 [restartedMain] INFO  com.example.rs.RsApplication - No active profile set, falling back to 1 default profile: "default"
2022-03-08 09:38:57.736 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-03-08 09:38:57.736 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-03-08 09:38:59.169 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-03-08 09:38:59.173 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-03-08 09:38:59.213 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2022-03-08 09:39:00.811 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-03-08 09:39:00.827 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-03-08 09:39:00.828 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-03-08 09:39:00.828 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
2022-03-08 09:39:00.951 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
